Link;Dato;Stjerner;Rubrik;Underrubrik;Brødtekst;Kunstner;Gruppe;Solist;Forsanger_koen;Utroværdig;Dansk;Genre;Sted;Note
https://ekstrabladet.dk/musik/koncert_anmeldelser/rockikon-bizar-i-royal-arena/9449658;30. Sep 2022;4;Rockikon bizar i Royal Arena;Bob Dylan var helt fejlplaceret på multiarenaens scene, men der skal mere til at ødelægge mesteren;"Bassisten Tony Garnier er den musiker, der har spillet flest koncerter med Bob Dylan. Til Ekstra Bladet fortalte han for nyligt, at ’man kan lære noget’ af at overvære legendens igangværende verdensturné. Hvis man så Dylan en af de foregående 32 gange, han har optrådt på dansk grund, så lærte man dog ikke rigtigt noget, man ikke vidste i forvejen, da den gamle original indtog Royal Arena. Men forhåbentlig lærte arrangørerne, at småexcentrisk og underspillet poesiblues ikke fungerer optimalt i en kæmpe multiarena, der også bruges til håndbold og Hot Wheels Monster Trucks Live Glow Party.Engageret forsøg. Hvis Dylan havde spillet en straight klassikerparade med bragende rockband, så havde det formentlig givet mening på Amager. Men det gjorde han naturligvis ikke. Bob er stadig Bob.Så vi fik ni af de ti numre fra poetens tvivlsomme seneste album, ’Rough and Rowdy Ways’, der har mere tilfælles med digtoplæsning end arenarock.

Det vildt fabulerende nye materiale var dog generelt mere levende og dramatisk i liveversionerne, hvor Dylan sang råt og raspende, men også sårbart og omsorgsfuldt i et engageret forsøg på at overbevise om repertoirets kvaliteter.

’I Contain Multitudes’, ‘Black Rider’ og især en vægtløs ‘Key West (Philosopher Pirate)’ imponerede op mod den minimalistiske scenografi, hvor det nærmeste vi kom et show, var da en ensom stump rød konfetti fra en tidligere koncert stilfærdigt dalede ned fra loftet under ’False Prophet’. Oldtimeren sad langt tilbage på scenen, hvor han nærmest var gemt væk bag sit piano, og storskærme bruger den lyssky ener selvfølgelig ikke, så det var reelt en støvet og intim teaterkoncert blæst op i en nymodens kæmpearena.

Men det enorme rum fremstod trods alt smagfuldt nedskaleret, hvilket imidlertid ikke kunne maskere, at kun vel omkring 6000 havde betalt billetprisen på mellem 795 og 1295 kroner i en bygning, som med maksimal kapacitet kan rumme 10.000 mere.

Akrobatisk indslag 
Placeringen af Dylan i Royal Arena var ikke det eneste, der virkede vanvittig og bizar.

Som så mange gang før fortolkede amerikaneren sine gamle sange, og en komplet umulig ’I’ll Be Your Baby Tonight’ blev aftenens mest gakkede, på sin vis herlige og nærmest akrobatiske indslag.

’When I Paint My Masterpiece’ var mere løjerlig end vellykket, mens en relativt rocket ’Gotta Serve Somebody’ nok var det nærmeste folk kom, det de kom efter.

Det har lagt en dæmper på glæden ved at gense Dylan, at han nu spiller den samme sætliste aften efter aften, men han fylder altså 82 til foråret, så der er grænser for, hvad vi kan forlange af ham nu om stunder.

Vi skal bare være glade for at se ham. Lige meget hvor det er.";Bob Dylan;0;1;M;;0;;;
https://ekstrabladet.dk/musik/koncert_anmeldelser/stjerne-udstiller-haabloes-ungdom/9445695;28. Sep 2022;5;Stjerne udstiller håbløs ungdom;"Nick Lowe demonstrerede alle de kvaliteter, tidens popstjerner mangler, under ypperlig koncert i Vega 
";"Alt er jo nærmest galt med moderne pop.

Ungdommen kan ikke skrive sange, og de kan ikke synge. Charme er et fortidslevn, og flere af dem er værre klædt end deres roadier.

Gode gamle Nick Lowe har derimod det hele, hvilket han mindede om under en pragtfuld og alt for sjælden koncert i København.

Den engelske elegantier var en tobenet jukeboks, der funklede som det tandsæt, han flashede ustandseligt.

Nick Lowe ligner en blanding af Elvis og Tintin, og minder lidt om Cliff Richard, hvis Cliff Richard ellers var suveræn.

Ubesværet stil
Med sig i Lille Vega havde den 73-årige veteran sit efterhånden ganske faste backingband, den maskeklædte surfkvartet Los Straitjackets, som næsten matchede chefens ubesværede stil.

Nick Lowe har en særlig evne til at virke født veloplagt, og hans sans for at snedkerere country, pop og rockabilly resulterer i førsteklasses håndværk, der blev høvlet fornemt fra de skrå brædder med en mesters touch. Efter en start med lidt flossede kanter i lydbilledet bredte vellyden sig hurtigt i salen, hvor især storswingende versioner af ’Shting-Shtang’, ’I Live on a Battlefield’ og ’I Knew the Bride (When She Used to Rock'n'Roll)’ gik lige i hofterne.
Den relativt nye rocker ’Tokyo Bay’ var bestemt også et visit værd, inden Los Straitjackets spillede en håndfuld instrumentale skæringer, mens Nick Lowe var i garderoben for at skifte skjorte og få en kam i frisuren.
Entertainerens stemme havde stadig den gyldne klang og overskudsagtige tone, der kendetegner hans virke, og få sange virker som ’(What's So Funny 'Bout) Peace, Love, and Understanding’.
I et nænsomt arrangement på Vesterbro lød klassikeren tidløs som første gang, man hørte den.

Nick Lowe er indbegrebet af god smag og mådehold, men det er hans publikum ikke, og pensionsmodne mænd filmede og fotograferede helten, så det var som at være til boybandkoncert.

Det er imidlertid det eneste, Nick Lowe har tilfælles med moderne popstjerner.";Nick Lowe;0;1;M;;0;;;
https://ekstrabladet.dk/musik/koncert_anmeldelser/aarets-selvmaal-komplet-til-grin/9437592;21. Sep 2022;1;Årets selvmål: Komplet til grin;"Peter Schmeichel sprang ud som rocksanger, og det blev en maveplasker langt ude på Refshaleøen
";"Nogle gange kan man blive positivt overrasket.

Det var ikke en af de gange, da Peter Schmeichel onsdag debuterede som rocksanger.

På forhånd lignede det en virkelig dårlig idé, at keeperikonet skulle være anfører i et såkaldt rock’n’talkshow.

Det gik værre end frygtet.

Stemme i overgang
Peter Schmeichel udlevede måske nok en drengedrøm, men for alle os andre i Stagebox var det et mareridt.

Alle er faktisk så meget sagt. Blot få hundrede var mødt op på Københavns relativt nye spillested langt ude på Refshaleøen, hvor Peter Schmeichel gik på scenen, så man fik lyst til at springe i havnen.

Bag sig havde han den fuldkommen ubehjælpsomt spillende kvartet The Ones, der blandt andre talte guitarist og sanger Niklas Schneidermann samt trommeslager Anders Ramhede fra Magtens Korridorer.Peter Schmeichel skrålede som en teenager, der faldt ud over en skrænt med stemmen i overgang.
Når han gav guitarsoloer, skulle man tro, han havde målmandshandsker på.

Akavede anekdoter
Repertoiret bestod af hits med navne som Coldplay, Robbie Williams, Simple Minds, Gasolin' og Queen, og schlagerne blev myrdet på en så spektakulært tonedøv facon, at man faktisk i glimt følte sig underholdt af rædslernes nærmest ufattelige omfang.

Det var dilettantisk for viderekomne, og hvis de nogensinde bliver booket som sølvbryllupsband, vil parret være skilt, inden den sidste falske tone klinger ud.
Mellem sangene fortalte en tydeligt nervøs Peter Schmeichel akavede anekdoter om sin tid på græs, mens han i en slags bøvet pingpong med Niklas Schneidermann forsøgte at få mobiliseret noget mandehørm. Det stank også.

Den pinagtige affære varede to gange 45 minutter plus tillægstid, og hvis det havde været en fodboldkamp, så var Peter Schmeichel blevet skiftet ud længe inden pausen.

Årets selvmål.";Peter Schmeichel ;0;1;M;"Ja, ""Bag sig havde han den fuldkommen ubehjælpsomt spillende kvartet The Ones, der blandt andre talte guitarist og sanger Niklas Schneidermann samt trommeslager Anders Ramhede fra Magtens Korridorer."".";1;;;
https://ekstrabladet.dk/musik/koncert_anmeldelser/sensationelt-besoeg-i-danmark/9414817;06. Sep 2022;5;Sensationelt besøg i Danmark;"Den amerikanske countryfanatiker Marty Stuart demonstrerede formidable evner på spillestedet Gimle
";"Marty Stuart er opkaldt efter countrylegenden Marty Robbins.

Han har spillet med Johnny Cash. Og været gift med countrygigantens datter Cindy.

Nu danner Marty Stuart par med den 17 år ældre countrystjerne Connie Smith, som han oprindeligt forelskede sig i som barn.

Manden fra Mississippi er et countrymuseum på to ben. Tirsdag holdt det aftenåbent i Roskilde, da Marty Stuart var på et alt for sjældent dansk besøg.

Sangeren, sangskriveren og mestermusikanten, der fylder 64 sidst på måneden, blæste gennem det velbesøgte spillested Gimle som et virkeligt spøgelse.

Tindrende nostalgi
Countrymusikken er måske nok døende i sin autentiske form, men Marty Stuart holder stædigt liv i genren med evner, energi og entusiasme. Hans fascination tangerer en besættelse. Autoriteten er twang personificeret.

I løbet af 95 forrygende minutter stak han hænderne dybt i en tidslomme, hvor tindrende nostalgi blev en kærlighedserklæring i stedet for pastiche.
Sammen med sin trio, der ubesværet levede op til navnet Fabulous Superlatives, spillede veteranen alt fra psykedelisk folkrock over surf og rockabilly til bluegrass og western swing, så man skulle tro, han aldrig havde bestilt andet.
Det har han heller ikke. Marty Stuart gik ombord i navnkundige Lester Flatts tourbus i en alder af 12, og siden har han tjent countrymusikken i flamboyant skikkelse af generøs landevejsridder.   

Det virkede da også, som om han havde flere generationers erfaring med i bagagen, mens gamle og nye numre af kapaciteten selv blev blandet med forbilledernes klassikere i en koncert, hvor hovedpersonen agerede organisk jukeboks.

For Marty Stuart var det utvivlsomt et standardshow, men tilsat pletfri professionalisme og eventyrligt flair for entertainment fik han det til at fremstå helt særligt for nogle lykkelige fans, der vist for en aften elskede countrymusikken næsten lige så højt som fanatikeren i rampelyset.    Til at tude over
Mindre historisk var det bestemt ikke, mens Sam Williams varmede op.

Den unge sangskriver er søn af countryrebellen Hank Williams Jr. og ikke mindst barnebarn af genrens største ikon, Hank Williams.

Man skal man dog langt ned i de forpinte tekster på sidste års debutalbum, ’Glasshouse Children’, for at bemærke slægtskabet.

Musikalsk er Sam Williams af en anden og mere skrøbelig støbning. Han forsøger at giver smerten en tidssvarende twist, men hans klangflade flirt med poprappens superstjerner som Post Malone og Drake hang uforløst i lokalet.Opkomlingen blev blot bakket op af en akustisk guitarist, og det klædte for så vidt repertoiret at blive befriet fra studieversionernes overpyntede produktion.
Det nøgne udtryk blotlagde imidlertid også Sam Williams begrænsninger som sangskriver og ikke mindst sanger. Hans klynkevokal nåede at blive ekstremt enerverende, selvom sættet kun varede 25 minutter.

Han sluttede med bedstefarens mesterværk ’I’m So Lonesome I Could Cry’, men det var til at tude over på den forkerte måde.";Marty Stuart;0;1;M;;0;;;
https://ekstrabladet.dk/musik/koncert_anmeldelser/hausgaard-rasende-paa-festival/9398309;26. Aug 2022;4;”hausgaard-rasende-paa-festival/9398309;"Komikeren bruger sin underliggende vrede som brændstof, og det kørte godt for vendelboen i Tønder
";"Niels Hausgaard har optrådt på Tønder Festival siden Grauballemanden gik i knæbukser, men på andre festivaler som Tinderbox og Smukfest er det er relativt nyt påfund med komik mellem koncerterne.

Forskellen på Hausgaard, der fylder 78 på onsdag, og standupperne er dog ikke kun alderen. Nordjyden er desuden sjov og står ikke op.

Den helt afgørende forskel er imidlertid, at veteranen er vred.

Hausgaard pakker måske nok sin underliggende indignation over social uretfærdighed, afstumpede politikere og blind snæversynethed ind i lun satire, men mærker man efter, kan man mærke hans raseri.De gik glip af, at Hausgaard gjorde grin med blandt andet ’Badehotellet’, mænd i uniform, momssvindlere, mavesyre, bøssers hang til fjantet adfærd og uundgåeligt Danmarksdemokraterne.

Gourmetrestauranter er heller ikke humoristens smag:

- Hvordan vil du have din bøf?

- Bare hakket.
Kluk og druk
Hausgaard er en legende både på og bag scenen i Tønder. Han er populær stamgæst i musikerbaren, men man har indtryk af, at han tog blævreorganisten Martin Schack med for at være helt sikker på ikke at skulle drikke alene.   
Selvfølgelig er han forudsigelig. Det er øl også. Det blev drukket alligevel, mens folk klukkede.

Hausgaard er ikke længere lårklaskende morsom, men med alle de åreknuder hans publikum har, ville det også være uhensigtsmæssigt.

Sejtrækkeren lovede at blive ved, til nogen fejede ham af scenen. Han talte om showet, men heldigvis gælder det vist hele karrieren.


Fjantet adfærd
Dybest set er det nok vreden, der har gjort entertaineren så langtidsholdbar, og i Tønder blev spejlteltet Bolero på obligatorisk vis fyldt, mens mange forgæves stod i kø udenfor.
";Niels Hausgaard;0;1;M;;;;;
https://ekstrabladet.dk/musik/koncert_anmeldelser/burde-vaere-blevet-hjemme/9396275;26. Aug 2022;2;”burde-vaere-blevet-hjemme/9396275;"Lars Lilholt har været hårdt ramt af alvorlig sygdom, og jyden var en mærket mand på Tønder Festival
";"Det burde ikke være muligt for Lars Lilholt at stå på en scene.

Torsdag åbnede han ikke desto mindre Tønder Festival blot et halvt år efter, han lå på Skejby med tarmkræft, tarmslyng, bughindebetændelse, corona, bylder og tre blodpropper.

Veteranen kunne være død. I stedet var han live på hovedscenen. Sådan da.

Lilholt, der fylder 70 til foråret, har mirakuløst nok fået lidt yderligere luft i systemet siden operationerne i februar, men mens der var større styrke i stemmen, så var han svagelig som scenekunstner.

Døsig omgang
Mere end nogensinde havde Lilholt brug for sit band, og de svigtede ham gennem 85 underligt uinspirerede minutter. Guitaristen Gert Vincent var iført shorts og stråhat, hvilket var betegnende for en trup, der vist mentalt var taget på badeferie.

I middagsheden blev det en døsig omgang. Selv 'Jens Langkniv' var sløv.Tønder har udsolgt af partoutbilletter, og publikum var talstærkt trukket tidligt i sandalerne for at se spillemanden. Der blev selvfølgelig sunget med på ’Kald det kærlighed’, men generelt var forsamlingen ikke rigtigt med nordjyden.
Lilholt er altid bedst, når han spiller folkpop i stedet for popfolk. Selv på den historiske festival for det, de vist i Sønderjylland betragter som ægte toner, var der dog for langt imellem, at troubadourens klangflade orkester lød bare lidt autentisk.

Ilt i kulissen
Undtagelsesvis swingede 'Den magiske møhårspensel' og 'Gik i byen med det grimme hold', der er en herlig fortolkning af Kwamie Livs ’New Boo’, men den middelmådige koncert var milevidt fra toppen af både poppen og folkemusikken.

- Jeg skal lige ud i kulissen og have noget ilt, sagde Lilholt og lod korpigerne synge 'Kun med hjertet kan man se'.

Det lød heller ikke godt.

Lilholt har brugt sin sommerturné som genoptræning, og det har hjulpet den mentale helingsproces at vende tilbage til normaliteten, forklarede han til Ekstra Bladet i et eksklusivt interview.

Det giver mening. Det gjorde koncerten ikke.

På sin vis var det bevægende at se den stillestående kræftpatient tilbage på scenen, men mest af alt virkede det, som om han burde have ventet til næste sommer.";Lars Lilholt;0;1;M;;1;;;
https://ekstrabladet.dk/musik/koncert_anmeldelser/fiduskunstner-er-helt-uduelig/9377871;13. Aug 2022;1;”fiduskunstner-er-helt-uduelig/9377871;"Hans Philip indtog AiaSound Festival med en koncert, der understregede, at jyden burde være ukendt
";"Hans Philip blev kendt som den ene halvdel af Ukendt Kunstner, men efter succesduoens opløsning lød det, som om han forsøgte at blive ukendt igen.

Sangerens ukristeligt kedelige solodebut, ’Forevigt’ fra 2019, hittede dog stort, til trods for at det bare var en uopfindsom fordanskning af Frank Oceans døsige R&B.

På AiaSound Festival truede Hans Philip med snart at udsende et nyt album, og de smagsprøver, han gav under koncerten, indikerede kraftigt, at man skal sætte godt med kaffe over, hvis man har tænkt sig at lytte til værket.

Den 33-årige jyde, der har karisma som et Wolt-bud med den forkerte pizza, proklamerede, at han ville stoppe sin performance, hvis nogen blandt publikum besvimede i varmen.

Sangstemme søges
Det var lige før, man stod og håbede, en dejsede omkring. Men naturligvis kun lige før.   Flere af de unge fans lagde sig i det svitsede græs, hvilket dog desværre ikke gjaldt som en årsag til koncertstop.
Hans Philip har ingen stemme, hvilket jo er et betragteligt problem, når man er en moderne soulsanger, der synger ulykkelige kærlighedssange, så man skulle tro, han aldrig havde været ulykkeligt forelsket.
Mellem numrene opførte han sig malplaceret fjoget og udbrød blandt andet de skelsættende sætninger:

- Kan I holde varmen?

- Husk at drikke vand.

- Vi elsker jer!

Sange som ’Tiden læger alle sår’, ’Drenge & piger’ og ’Siger ingenting’ var stillestående på niveau med publikum, der ikke uden grund forekom at være paralyseret af kedsomhed.

Hans Philip er kendt, men kunstner bliver han aldrig.";Hans Philip;0;1;M;;;;;
https://ekstrabladet.dk/musik/koncert_anmeldelser/vanvid-hjerneblaest-paa-amager/9376201;13. Aug 2022;3;”vanvid-hjerneblaest-paa-amager/9376201;"Tiësto dunkede bevidstheden langt ud af 10.000 kranier, da dj'en fik AiaSound til at miste forstanden
";"En halv time inde i Tiëstos show på AiaSound Festival lå en kvinde i denimnederdel foran Bar 1 og kastede op, mens en veninde holdt hendes hår.

Utilpasheden skyldtes angiveligt alkohol og ikke musikken.

Kort efter blev en uregerlig ungersvend med en frisure i uorden modstridigt ført væk af tre politibetjente tæt på scenen.

Tiëstos genre kaldes EDM, og det står vist for Enorm Debil Muzak.

Den hollandske dj’s fem kvarter lange koncert op mod midnat var det perfekte soundtrack til en abefest, der gik komplet bananas i et svedigt virvar af selfiestænger, shotsrør og solbriller i fladpanden.

Stakkels muldvarpe
Tiësto testede AiaSounds højttalersystem, som bestod, hvilket formentlig irriterede en hel del af Amagers befolkning, og stakkels muldvarpe, kloakrotter og hvad Lorteøen ellers har af dyreliv.

Verdensstjernens sæt var ikke stor kunst, men det virkede efter hensigten tilsat den professionalisme, man må forvente fra en 53 år gammel veteran.Man har altid den slags dj’s mistænkt for at stå og redigere feriebilleder, mens de skærer grimasser og lader som om, det gør en kæmpe forskel, at de drejer på en dims, men Tiësto var bedre end de fleste til at foregive, han spillede live.
Tilsat en ganske imponerende udgave af den sædvanlige partycocktail bestående af store storskærme, kulørte lamper, hidsige flammekastere og farvestrålende fyrværkeri blev bevidstheden dunket effektfuldt ud af kraniet på forsamlingen.

Der var vel små 10.000 festgale gæster, men de var ikke meget for at stå stille, så det var svært at tælle dem, og mindst to forlod jo løjerne, inden Tiësto var færdig.

Godfather glødede
Sivas er så småt begyndt at ligne en færdig mand i dansk rap. Det er han imidlertid ikke.

Gilli, Kesi og Branco har måske nok overhalet den lidt ældre rapper på Spotify, men umiddelbart inden Tiësto beviste Sivas, at han kunne leve op til konferencierens prædikat som den nye danske rapgenerations godfather.

Den ofte udisciplinerede poet fra Brøndby Strand har fået styr på sin livesound, og i et atmosfæremættet lydbillede glødede han i skumringen på festivalens lille intime scene.       

Sivas’ snøvlede flow hang tungt i den lune sommerluft, men den noget akavede entertainer lukkede så mange bøvede floskler ud mellem numrene, at det i nogen grad saboterede illusionen om den utilnærmeligt lyssky topstodder.    

Rapperens koncert i Operaen i april blev annonceret som hans eneste i år, men siden har han selvfølgelig optrådt under både Spot Festival og Smukfest, og på AiaSound var det alt i alt en stor fornøjelse, at han brød sit løfte igen.
";Tiésto;0;1;M;;;DJ;;
https://ekstrabladet.dk/musik/koncert_anmeldelser/nedtur-jyde-skraber-bunden/9376196;12. Aug 2022;2;”nedtur-jyde-skraber-bunden/9376196;"Malte Ebert var sig selv, Gulddreng og ikke rigtigt nogen under latterlig diffus optræden på AiaSound 
";"Malte Eberts karriere i eget navn er styrtdykket lige så hurtigt, som han sendte Gulddreng til tops i dansk pop.

Selv ikke en medvirken i familieprogrammet ’Toppen af poppen’ har løftet vejlenseren ud af glemslen, og fredag aften på AiaSound skrabede han bunden som en uskøn blanding af Malte Ebert og Gulddreng.

Af og til ville han tages alvorligt. Det var ikke til at tage seriøst.

Til tider forsøgte han sig med komik. Til tider var det lidt komisk.

Skjuler det godt
Manden er begavet over gennemsnittet, men han skjuler det godt, og det er dumt, han ikke bestemmer sig for, hvem han vil være.

Ude på Amager var han Malte Ebert, Gulddreng og ingen.  Det virkede som en falliterklæring, at han i et 65 minutter langt sæt så sig nødsaget til at slutte med et potpourri af fodboldsange og sågar nationalmelodien komplet med dannebrog på scenen.
Satirikeren smilede naturligvis i skægget undervejs i det rød-hvide optrin, men det ændrede ikke på det sørgelige ved, at han var nødt til at bruge alle billige tricks i håndbagagen for at vække publikums interesse.

Vi manglede kun Gulddrengs julehit.

Malte Ebert fremførte til gengæld sin kreative Simon Kvamm-sang ’Super ligeglad (Superliga)’ fra ’Toppen af poppen’, men intet tyder på, at han kommer derop i eget navn. 
";Malte Ebert;0;1;M;;;;;
https://ekstrabladet.dk/musik/koncert_anmeldelser/dansk-festival-gaar-helt-paa-roeven/9374831;12. Aug 2022;4;”dansk-festival-gaar-helt-paa-roeven/9374831;"Amagers partygale AiaSound overgav sig fuldstændigt til rapstjernen Tygas løsslupne underholdning
";"Kendisser som selveste Kylie Jenner og Blac Chyna har datet Tyga, og man forstår dem godt.

Ikke alene er rapstjernen en flot fyr. Han er også talentfuld.

På AiaSound Festival nøjedes ungdommen med at være fuld, da Tyga ramte pladsen sidst på aftenen som torsdagens hovednavn.

Det blev en fest. Stor kunst var det måske ikke, men underholdningen var underholdende.

Et par timer tidligere havde Kesi vist, hvordan det ikke skal gøres, og der har nok aldrig været længere fra den danske hovedstad til hiphophovedstaden Compton, som fostrede Tyga i 1989.

Konstant fikspunkt
Manden var milevidt dygtigere end Kesi, og fire sekunder inde i californierens kun 43 minutter korte show var man som transporteret til en anden og bedre rapplanet.

Micheal Ray Nguyen-Stevenson alias Tyga, der står for Thank You God Always, demonstrerede tempo, engagement og intensitet i et hæsblæsende sæt med sit indædte flow som konstant fikspunkt.

Han var der virkelig, og han arbejdede for hyren. Så længe det varede.
Effektiv brug af dj og røvrystende dansere blev flankeret af to bodyguards, som var på størrelse med bjergkæder.
Det ikke bare lød af noget. Det så også ud af noget. En international entertainer var i byen.

Sange som ’Ice Cream Man’, ’Rack City’ og ’Taste’ fik tøserne til at smile på hele Tiøren, så man skulle tro, de ikke havde set noget lignende, siden sidst de var på Insta.

Tyga bliver næppe ensom på hotellet. ";Tyga;0;1;M;;0;;;
